;N° de factura;Fecha de factura;ID Cliente;País;Cantidad;Monto
0;548370;3/30/2021 16:14:00;15528.0;United Kingdom;123;229.33
1;575767;11/11/2021 11:11:00;17348.0;United Kingdom;163;209.73
2;C570727;10/12/2021 11:32:00;12471.0;Germany;-1;-1.45
3;549106;4/6/2021 12:08:00;17045.0;United Kingdom;1;39.95
4;573112;10/27/2021 15:33:00;16416.0;United Kingdom;357;344.83
5;576630;11/16/2021 8:38:00;13816.0;Germany;91;199.98
6;538125;12/9/2020 15:46:00;18225.0;United Kingdom;16;30.00
7;544354;2/18/2021 10:42:00;13489.0;United Kingdom;64;77.28
8;546369;3/11/2021 11:41:00;15513.0;United Kingdom;10;67.50
9;570651;10/11/2021 13:34:00;14911.0;EIRE;86;321.35
10;C543628;2/10/2021 15:51:00;16558.0;United Kingdom;-5;-9.25
11;539736;12/21/2020 15:18:00;;United Kingdom;143;1172.46
12;537823;12/8/2020 14:25:00;;United Kingdom;1484;6073.71
13;575581;11/10/2021 11:53:00;12659.0;France;105;91.68
14;580987;12/6/2021 16:35:00;17389.0;United Kingdom;96;720.00
15;543754;2/11/2021 14:26:00;18159.0;United Kingdom;139;530.15
16;542418;1/27/2021 17:39:00;;United Kingdom;-17;0.00
17;C553508;5/17/2021 13:44:00;14000.0;United Kingdom;-3;-1.95
18;563233;8/14/2021 15:56:00;17988.0;United Kingdom;1;2.95
19;545417;3/2/2021 13:42:00;15622.0;United Kingdom;222;576.00
20;C577693;11/21/2021 11:48:00;12628.0;Germany;-3;-16.85
21;550759;4/20/2021 12:09:00;;United Kingdom;-7;0.00
22;C547309;3/22/2021 11:17:00;17416.0;United Kingdom;-12;-45.00
23;556427;6/10/2021 13:23:00;;United Kingdom;92;435.69
24;C555404;6/2/2021 18:28:00;17231.0;United Kingdom;-2;-19.90
25;576571;11/15/2021 13:48:00;12950.0;United Kingdom;164;311.60
26;550623;4/19/2021 13:56:00;13719.0;United Kingdom;78;132.90
27;576083;11/14/2021 8:22:00;17404.0;Sweden;1060;1238.48
28;562417;8/4/2021 16:32:00;;United Kingdom;526;1691.38
29;570733;10/12/2021 11:33:00;17190.0;United Kingdom;160;249.74
30;537026;12/3/2020 16:35:00;12395.0;Belgium;528;346.10
31;552837;5/11/2021 14:24:00;12901.0;United Kingdom;72;140.04
32;C579925;12/1/2021 9:16:00;15544.0;United Kingdom;-3;-2.55
33;550535;4/19/2021 11:19:00;14211.0;United Kingdom;72;155.60
34;555213;6/1/2021 12:22:00;13094.0;United Kingdom;144;152.64
35;549923;4/13/2021 9:59:00;13138.0;United Kingdom;72;193.62
36;575198;11/9/2021 9:47:00;12921.0;United Kingdom;19;71.25
37;C549986;4/13/2021 16:03:00;18178.0;United Kingdom;-2;-7.50
38;569005;9/29/2021 18:30:00;16268.0;United Kingdom;465;493.76
39;566307;9/12/2021 9:37:00;14307.0;United Kingdom;323;656.23
40;539049;12/15/2020 16:21:00;15615.0;United Kingdom;364;1048.64
41;549684;4/11/2021 13:24:00;;United Kingdom;1;30.00
42;580068;12/1/2021 13:41:00;17321.0;United Kingdom;5;41.25
43;542745;1/31/2021 16:47:00;15881.0;United Kingdom;154;339.29
44;575525;11/10/2021 11:06:00;13983.0;United Kingdom;72;128.88
45;C562884;8/10/2021 11:25:00;14056.0;United Kingdom;-3;-9.75
46;C560842;7/21/2021 12:25:00;14527.0;United Kingdom;-1;-12.15
47;542936;2/2/2021 11:10:00;;United Kingdom;144;161.56
48;565682;9/6/2021 10:42:00;14796.0;United Kingdom;467;835.95
49;C562514;8/5/2021 12:20:00;13408.0;United Kingdom;-1;-11.95
50;562220;8/3/2021 14:19:00;15150.0;United Kingdom;108;304.42
51;562002;8/1/2021 13:48:00;14567.0;United Kingdom;172;800.76
52;C561210;7/25/2021 16:58:00;17841.0;United Kingdom;-10;-12.50
